server ga tersambung	Functionality and Perfomance
Aplikasi sangat jelek banget	General Aspect
aplikasi bagus banget	General Aspect
GANTI EMAIL GABISA	Functionality and Perfomance
Password error	Functionality and Perfomance
akun tidak terdaftar	Functionality and Perfomance
aplikasi Berjalan lancar	Functionality and Perfomance
Pelayanannya baik	User Experince
aspirasi sudah didengar	Out of Aspect
aplikasi ancur	General Aspect
aplikasi sangat jelek	General Aspect
loading terus	Functionality and Perfomance
ganti nomer handphone Ga bisa	Functionality and Perfomance
apknya ada masalah	Functionality and Perfomance
pihak development blm ada respon	Support and Updates
Antarmuka Pengguna Kurang maju	User Interface
"privikasi ktp gak bsa"""	Functionality and Perfomance
Aplikasi gaje	General Aspect
aplikasinya Susah di unduh	Functionality and Perfomance
sinyal selalu gagal tersambung	Functionality and Perfomance
Kotak pencarian tidak berfungsi	Functionality and Perfomance
Aplikasi layanan cukup mempermudah	User Experince
login sngat mudah	Functionality and Perfomance
daftar gabisa	Functionality and Perfomance
pendaftarannya trouble sekali	Functionality and Perfomance
INFONYA KURANG JELAS	Out of Aspect
login belum pernah bisa	Functionality and Perfomance
donlod gk bisa	Functionality and Perfomance
adminnya fast respon	Out of Aspect
apk muter2 doang	Functionality and Perfomance
aplikasi macam apa	General Aspect
apged sertifikat imunisasi ga bisa	Functionality and Perfomance
aplikasi sangat bagus	General Aspect
troubel banyak	Functionality and Perfomance
aplikasi sangat responsif	Support and Updates
login gk bisa	Functionality and Perfomance
upload foto ga bisa	Functionality and Perfomance
Si praja sangat membantu	User Experince
di buka tidak bisa	Functionality and Perfomance
scan tidak terdaftar	Functionality and Perfomance
Bug dimana-mana	Functionality and Perfomance
masukk GK bisa	Functionality and Perfomance
pengecekan produk Sangat bagus	User Experince
aplikasinya diperbaiki lagi	Functionality and Perfomance
cctv analitic gabisa liat	Functionality and Perfomance
download tidak konek	Functionality and Perfomance
Apk blm sempurna	General Aspect
Fitur gak bisa dipake	Functionality and Perfomance
Kode verifikasi tidak dikirim	Functionality and Perfomance
Masuk info PKB gagal	Functionality and Perfomance
barcode tdak berfungsi	Functionality and Perfomance
login susah banget	User Experince
Aplikasi mutar2 terus	Functionality and Perfomance
Aplikasi kurang efektif	General Aspect
apk tidak bisa digunakan	General Aspect
apk eror	Functionality and Perfomance
Pelayanan lelet banget	User Experince
aplikasi marai mumet	User Experince
sistemnya diperbaiki	Functionality and Perfomance
ngeload mulu	Functionality and Perfomance
aplikasinya sangat membantu	User Experince
koneksi gagal terhubung	Functionality and Perfomance
apk gk jls	General Aspect
update tidak bisa masuk	Support and Updates
cek pajak g bisa	Functionality and Perfomance
cek ga bsa	Functionality and Perfomance
akun gak bisa buka	Functionality and Perfomance
layanan lemot	Functionality and Perfomance
aplikasi bagus aja buat cek	Functionality and Perfomance
bug minim	Functionality and Perfomance
lo gin gak bisa	Functionality and Perfomance
masuk Gabisa	Functionality and Perfomance
membuka sulit	Functionality and Perfomance
buka Tidak bisa	Functionality and Perfomance
dibuka gak bisa	Functionality and Perfomance
login tidak bisa digunakan	Functionality and Perfomance
apk Payah	General Aspect
aplikasi sangat senang	General Aspect
Pelayalan ok	Out of Aspect
log susah	Functionality and Perfomance
apk tidak berjalan semestinya	Functionality and Perfomance
data salah	Security
Upload surat makin lama	Functionality and Perfomance
aplikasi sangat membantu?	User Experince
aplikasi jangan download	General Aspect
aplikasiny Menarik, aplikasiny	General Aspect
Admin fast respon	Support and Updates
Ngurus ktp ribet	User Experince
mau berkunjung sulit banget	User Experince
aplikasinya Jelek	General Aspect
Aplikasi belum siap di luncurkan	General Aspect
aplikasi membantu	User Experince
Update aplikasi susah untuk digunakanpelaporan pajak parkir	Support and Updates
mendaftar gak bisa	Functionality and Perfomance
aplikasi srijg error	Functionality and Perfomance
buat akun Tidak bisa	Functionality and Perfomance
masuk Susah	Functionality and Perfomance
"loading terus""an"	Functionality and Perfomance
apk ga bisa berfungsi	Functionality and Perfomance
aplikasi jlek	General Aspect
aplikasi tolong dibenahi	General Aspect
IT harus ditingkatkan kembali	Support and Updates
aplikasi bug	Functionality and Perfomance
proses membuat surat pindah KK agak lama	User Experince
aplikasi banyak kekurangan	General Aspect
menu lengkap	User Experince
log in Tidak bisa akses	Functionality and Perfomance
System perbaikan terus	Functionality and Perfomance
Aplikasi nyusahin	User Experince
loading agak lama	Functionality and Perfomance
laporannya langsung di tindak lanjut	Out of Aspect
Aplikasi tidak bisa d pakaii	Functionality and Perfomance
aplikasinya bad banget	General Aspect
update loading terus	Functionality and Perfomance
bikin aplikasi serius dikit	General Aspect
app bikin kesal orang	User Experince
Apk buruk sekali	General Aspect
Aplikasinya ga fungsi	Functionality and Perfomance
Pengurusan pelayanan lebih mudah	Support and Updates
Aplikasi memudahkan administrasi	User Experince
penyelesaian tidak ada	Support and Updates
server amat lemot	Functionality and Perfomance
aplikasinya Disposisi	General Aspect
login gk msuk2	Functionality and Perfomance
mengidentifikasi gk selesai2	Functionality and Perfomance
Aplikasi sangat sulit di akses	User Experince
pelayanan kurang fast	Out of Aspect
login susah betul	User Experince
servernya lama respon	Functionality and Perfomance
bug dmana2	Functionality and Perfomance
masuk Kaga bisa	Functionality and Perfomance
penyimpanan banyak	Functionality and Perfomance
pelayanan mempermudah	User Experince
Scan barkon kurang falid	Functionality and Perfomance
apk busuk	General Aspect
Aplikasi cacat	General Aspect
apk banyak kendala	Functionality and Perfomance
upgrade ga bsa msuk	Support and Updates
Pelayanannya sangat memuaskan	Out of Aspect
fiturnya Enah banget	Functionality and Perfomance
aplikasinya Gak bisa kebuka	Functionality and Perfomance
Aplikasinya ribet	User Experince
Nomer telepon eror mlu	Functionality and Perfomance
aplikasi nggak bisa di buka	Functionality and Perfomance
aplikasinya jauh dari kata setandar	General Aspect
aplikasix eror terus	Functionality and Perfomance
APLIKASI GAJELASSSSS	General Aspect
aplikasi parah jelekny	General Aspect
Bikin password ribet banget	User Experince
loadingnya lama	Functionality and Perfomance
Pelayanan sangat memuaskan	User Experince
Alat scan tidak berfungsi	Functionality and Perfomance
Pengurusannya ribett	Out of Aspect
aplikasi upload gak selesai	Functionality and Perfomance
membuat akun mudah	User Experince
APLIKASI gunanya apa	User Experince
cek gabisa	Functionality and Perfomance
Aplikasi ga jelas	General Aspect
scan Tidak bisa	Functionality and Perfomance
APP Kurang Paham	User Experince
Pengurusan dokumen semakin mudah	User Experince
Error terus	Functionality and Perfomance
developer gmna sih ini bikin aplikasinya	Support and Updates
aplikasi gabisa dipake	Functionality and Perfomance
laporan di kerjakan sangat bagus	Support and Updates
jaringan sibuk terus	Functionality and Perfomance
login nggk bisa	Functionality and Perfomance
upload data sangat sulit	Functionality and Perfomance
login tidak berjalan	Functionality and Perfomance
Apli Nggak jelas	General Aspect
servernya bermasalah	Functionality and Perfomance
aplikasi sebagus	General Aspect
hasil Selalu memuaskan	General Aspect
aplikasi bobrok	General Aspect
aplikasine bagus banget	General Aspect
APLIKASI BURUK	General Aspect
Aplikasi tidak terhubung dengan server	Functionality and Perfomance
Kartu vaksin hilang	Functionality and Perfomance
aplikasi terlalu cepat menangkap foto	Functionality and Perfomance
developer g bner	Support and Updates
Aplikasinya mengecewakan	General Aspect
apk lemot	Functionality and Perfomance
aplikasi tidak bisa membuka	Functionality and Perfomance
System sampah	General Aspect
login Sulitnya	User Experince
layanan Memudahkan	Out of Aspect
buka file ktp langsung keluar	Functionality and Perfomance
pihak development blm ada respon	Support and Updates
scan tidak bisa	Functionality and Perfomance
Aplikasi jlimet	User Experince
bayar online Tdk bsa	Functionality and Perfomance
aplikasi tidak ada koneksi internet	Functionality and Perfomance
server masalah	Functionality and Perfomance
dftar Susah	User Experince
masuk gabisa	Functionality and Perfomance
aplikasi makin lambat	Functionality and Perfomance
download tidak berfungsi	Functionality and Perfomance
Aplikasi banyak manfaat	User Experince
kualitas aplikasi parah bgt	General Aspect
reapon cepat	User Experince
aplikasi gajelass	General Aspect
daftar vaksin eror terus	Functionality and Perfomance
cek datanya gak muncul	Functionality and Perfomance
Aplikasi sangat mbantu	User Experince
download sertifikat susahnya gak karuan	Functionality and Perfomance
responnya cepat	Out of Aspect
aplication Nice	General Aspect
Aplikasi blank	Functionality and Perfomance
loading kelamaaaaaaannnnnnnm	Functionality and Perfomance
app close sendiri	Functionality and Perfomance
developer tidak niat	Support and Updates
Pelayanan mantep	Out of Aspect
Inovasi membantu	Out of Aspect
aplikasi bermasalah	Functionality and Perfomance
Aplikasi membantu penduduk dki	User Experince
aplikasinya Sangat membantu	User Experince
login gagl	Functionality and Perfomance
kasih komen gak bisa	Functionality and Perfomance
maintance ga kelar2	Support and Updates
Bpom gk guna,	User Experince
aplikasi ga terawat	General Aspect
updet gak mau login	Functionality and Perfomance
survei tidak bisa membuka	Functionality and Perfomance
Loading ga kebuka buka	Functionality and Perfomance
aplikasinya tolong perbaiki	General Aspect
dipake ga bisa	Functionality and Perfomance
SAMBARA makin parah	General Aspect
aplikasi tidak berguna	General Aspect
membayar pajak Mempersulit masyarakat	Out of Aspect
membuat laporan gagal	Functionality and Perfomance
scenc tidk terdeksii	Functionality and Perfomance
aplikasi tambah ruwet	User Experince
login gak bisa	Functionality and Perfomance
unduh sertif vaksin Ga bisa	Functionality and Perfomance
Aplikasi memudahkan	User Experince
menu gak bisa diakses	Functionality and Perfomance
masuk gak bisa?	Functionality and Perfomance
email tidak ditemukan	Functionality and Perfomance
Pitur hilang	Functionality and Perfomance
bug harus diperbaiki	Functionality and Perfomance
update tidak jelas	Support and Updates
Aplikasinya buruk	General Aspect
aplikaainya mantab	General Aspect
Daftar kacau	Functionality and Perfomance
scan barcode muter trs	Functionality and Perfomance
pelayanan ramah	User Experince
aplikasi sedikit membingungkan	User Experince
updating cannot send reports	Support and Updates
Tampilan Kaga dapat digunakan	User Interface
Responce Laporannya Cepat	Support and Updates
kodenya gk dikirim	Functionality and Perfomance
aplikasi Sangat suka	General Aspect
ngecek plat eror	Functionality and Perfomance
menu teu bisa di parake	Functionality and Perfomance
QR tidak terdaftar	Functionality and Perfomance
apk oon	General Aspect
Aplikasi tidak bisa di gunakan	Functionality and Perfomance
kirim Laporan Tidak bisa	Functionality and Perfomance
Aplikasi segera di perbaiki	Functionality and Perfomance
absen pulang gk bsa	Functionality and Perfomance
conect Tidak bisa	Functionality and Perfomance
buka Ngk bisa	Functionality and Perfomance
Aplikasi sangat burukk sekali	General Aspect
mengunduh gak bisa	Functionality and Perfomance
bayar online tidak bisa	Functionality and Perfomance
aplikasinya dipermudah	User Experince
DAFTAR SUSAH	User Experince
login susah	Functionality and Perfomance
Penanganan cepat	User Experince
upload identitas gak bisa terus	Functionality and Perfomance
login Susah sekali	User Experince
pelayanan bagus	General Aspect
Aplikasinya bagus	General Aspect
masuk gk bs	Functionality and Perfomance
buat laporan ribet	User Experince
aplikasinya tolong diperbaiki	Functionality and Perfomance
aplikasi Sangat Buruk	General Aspect
Pelayanannya memuaskan	Out of Aspect
Aplikasi keren abis	General Aspect
scan ga bkl muncul hasil	Functionality and Perfomance
nunggunya lama banget	Functionality and Perfomance
aplikasi di benerin kualitas	General Aspect
Respon terkesan ngasal	Out of Aspect
aplikasi ga akurat	Functionality and Perfomance
login aneh	Functionality and Perfomance
sistem Perbaiki	Functionality and Perfomance
Aplikasi terbaik	General Aspect
email tidak ada balasan	Functionality and Perfomance
aplikasi sering error	Functionality and Perfomance
Aplikasi kaga jelas	General Aspect
cek ga bisa	Functionality and Perfomance
Daftar ribet	User Experince
masuk aplikasi Tambah sulit	Functionality and Perfomance
cek info PKB tidak bisa	Functionality and Perfomance
aplikasinya Gk bagus	Functionality and Perfomance
Aplikasinya Kerennn	General Aspect
pelayanan mudah	Out of Aspect
scancode ngga ada	Functionality and Perfomance
ganti nomer handphone Ga bisa	Functionality and Perfomance
respon cepet	Out of Aspect
Aplikasi berguna sekali	User Experince
Scand Beputar	Functionality and Perfomance
Aplikasinya sangat bermanfaat	General Aspect
server ngelag	Functionality and Perfomance
daftar akun tidak bisa	Functionality and Perfomance
cek pajak motor ga bisa	Functionality and Perfomance
koleksi bukunya lengkap	Functionality and Perfomance
Kerahasiaannya terlindungi	Security
nge scan gabisa	Functionality and Perfomance
cek pembayaran perpanjangan pajak kendaraan tidak bisa	Functionality and Perfomance
login kadang eror	Functionality and Perfomance
dipake gk bisa	Functionality and Perfomance
cek pajak kendaraan tidak bisa	Functionality and Perfomance
memverifikasi barkode G bsa	Functionality and Perfomance
loading tidak berkesudahan	Functionality and Perfomance
infonya Bagus	User Experince
aplikasinya bagus	General Aspect
Fitur pendaftarqn vaksinnya gak bisa diklik	Functionality and Perfomance
aplikasi unpaedah	General Aspect
lupa pasword tidak ada	Functionality and Perfomance
Error terussssss	Functionality and Perfomance
instansi belum siap	Out of Aspect
Tambahin fitur edit berkas di tolak	Functionality and Perfomance
layanannya perbaiki	Out of Aspect
pelayanan mantap	General Aspect
CEK PAJAK STNK TIDAK BISA	Functionality and Perfomance
aplikasi gk bisa di pakai	Functionality and Perfomance
aplikasi lelet	Functionality and Perfomance
fitur menarik	Functionality and Perfomance
apk tidak bisa di gunakan	Functionality and Perfomance
Pelayanan berantakan	Out of Aspect
Pelayananx bagus	Out of Aspect
aplikasinya di tingkatkan lagi	General Aspect
loadingnya Lama banget	Functionality and Perfomance
jaringan internet tida ada	Functionality and Perfomance
Aplikasi tidak berfungi	Functionality and Perfomance
sertifikat vaksinnya ga ada	Functionality and Perfomance
scan gak fungsi	Functionality and Perfomance
APLIKASI LOADING MULU	Functionality and Perfomance
sertifikat vaksin tidak bisa download	Functionality and Perfomance
Loading lama	Functionality and Perfomance
sistem terlalu sibuk	Functionality and Perfomance
Pelayanan parah	User Experince
Aplikasi sampah	General Aspect
upload file gagal2	Functionality and Perfomance
aplikasi aneh	General Aspect
verifikasi susah	User Experince
Cctv'nya susah dibuka	Functionality and Perfomance
login lemot	Functionality and Perfomance
masuk loading terus	Functionality and Perfomance
login gangguan terooosss	Functionality and Perfomance
apk buruk	General Aspect
aplikasi tolong ditingkatkan lagi	Functionality and Perfomance
server tidak dpt tersambung	Functionality and Perfomance
aplikasinya membantu	General Aspect
Pelayanan sangat puas	Out of Aspect
Aplikasi gmna si	General Aspect
aplikasi sulit di akses	Functionality and Perfomance
server tidak bisa	Functionality and Perfomance
data tidak di temukan	Functionality and Perfomance
masuknya Susah bget	User Experince
kode otp agak lama	Functionality and Perfomance
pelayanan mempermudah	User Experince
aplikasinya ga jalan	Functionality and Perfomance
login ga bisa	Functionality and Perfomance
aplikasi bagus	General Aspect
buka file ktp langsung keluar	Functionality and Perfomance
Aplikasi gak bisa digunakan	Functionality and Perfomance
email tidak di temukan	Functionality and Perfomance
perbarui hilang ga ada lagi	Support and Updates
app bagus deh	General Aspect
play CCTV Gak bisa	Functionality and Perfomance
log in susahnya ampun	User Experince
daftar free hotspot susah	Functionality and Perfomance
Aplikasi bosokkk	General Aspect
login2 nggak bisa	Functionality and Perfomance
Aplikasinya ga bisa dibuka	Functionality and Perfomance
laporan tidak ada penyelesaian	Out of Aspect
aplikasi jelek	General Aspect
jaringan Semoga lancar terus	Functionality and Perfomance
aplikasinya gak bisa digunakan	Functionality and Perfomance
Cek pajak nggak bisa	Functionality and Perfomance
barcode gk bisa	Functionality and Perfomance
login selalu gagal	Functionality and Perfomance
pelayanan masyarakat ditingkatkan	Out of Aspect
aplikasi sering eror	Functionality and Perfomance
produk ga terbaca	Functionality and Perfomance
loading lamaaaa banget	Functionality and Perfomance
aplikasi parah	Functionality and Perfomance
API error	Functionality and Perfomance
scan barcode ga bisa	Functionality and Perfomance
laporan diprosesnya lama	Out of Aspect
pengembangan apk ditingkatkan lagi	Support and Updates
aplikasinya gak bisa dibuka	Functionality and Perfomance
Pelayanannya baik	Out of Aspect
pakainya Praktis	User Experince
scan Gbs	Functionality and Perfomance
lupa akun gda pilihan	User Experince
Developer terima kasih	Support and Updates
update ancur	Support and Updates
Ngirim data susah bangeett	Functionality and Perfomance
loading ga kebuka	Functionality and Perfomance
apk Buruk bnget	General Aspect
server gagal	Functionality and Perfomance
Aplikasi ngecek cuma muter2	General Aspect
aplikasi cacat	Functionality and Perfomance
Pelayanan plinplan	User Experince
Apl jelek	General Aspect
eroorrr Sering	Functionality and Perfomance
Penanganannya sangat cepaaat	Out of Aspect
aplikasi tolong perbaiki	General Aspect
App memudahkan	User Experince
ganti nomor hp gak bisa	Functionality and Perfomance
aplikasi ga efektif bgt	Functionality and Perfomance
Aplikasi ga beres	General Aspect
Tim IT busuk bgd	Support and Updates
Aplikasi ga beres	General Aspect
tanggapan sangat cepat	Support and Updates
sistem aplikasinya mohon diperbaiki	Functionality and Perfomance
update ga jelas	Support and Updates
apal semoga bisa diperbaiki	Functionality and Perfomance
aplikasi bintang 1	General Aspect
aplikasi Cocok dimusnakan	General Aspect
verifikasi nomor hp tidak bisa	Functionality and Perfomance
buat akun Gagal	Functionality and Perfomance
login tdk bisa	Functionality and Perfomance
scan produk eror terus	Functionality and Perfomance
log in keseringan gagal	Functionality and Perfomance
aplikasi di benerin kualitas	General Aspect
sistem terlalu riber	Functionality and Perfomance
unduh sertif susah	Functionality and Perfomance
aplikasi tidak berguna	User Experince
Aplikasi lemot	Functionality and Perfomance
apk ngeloading terus	Functionality and Perfomance
Tombol kirim tidak berfungsi	Functionality and Perfomance
Apk sering ngelag	Functionality and Perfomance
aplikasi Lelet	Functionality and Perfomance
apk Mantap	General Aspect
pengurusan secara online sangat membantu	User Experince
lapor gk bs	User Experince
aplikasi terjadi gangguan	Functionality and Perfomance
aplikasinya jelek banget	Functionality and Perfomance
ngurus akun kagak ada kejelasan	User Experince
server tidak dpt terkoneksi	Functionality and Perfomance
Pelayanan ramah	Out of Aspect
Proses daftar di persulit	User Experince
app server sering gagal	General Aspect
login gagal	Functionality and Perfomance
bukaa nggak bisa	Functionality and Perfomance
masuk susah minta ampun	User Experince
pengurusan adminduk memudahkan warga	User Experince
scan ga terdaftar	Functionality and Perfomance
aplikasi JELEK	General Aspect
Pengajuan SK agak lambat	Out of Aspect
responnya cepat	Support and Updates
lihat data tidak bisa	Functionality and Perfomance
dibukaaaaa gabisa	Functionality and Perfomance
unduh tidak bisa	Functionality and Perfomance
LOGIN SUSAH BENERRR	User Experince
APLIKASI DELETE AJA	General Aspect
updet sangat menjengkelkan	Functionality and Perfomance
error serjng	Functionality and Perfomance
daftarin email susah	User Experince
Aplikasi tdk terlalu sering digunakan	General Aspect
aprove Cepat sekali	Out of Aspect
karyanya pancen istimewa	General Aspect
foto ktp kamera ga bs	Functionality and Perfomance
wifi cepat	User Experince
aplikasinya Lelet	Functionality and Perfomance
Aplikasi gak guna	User Experince
loading terus	Functionality and Perfomance
layanan aduan dipercepat respon nya	Out of Aspect
RESPON LAMBAT	Support and Updates
apk gak bisa buka	Functionality and Perfomance
aplikasi gak guna	General Aspect
Aplikasi memudahkan	User Experince
Aplikasi Tidak bisa Daftar vaksin premier	General Aspect
buat laporan ngga bisa	Functionality and Perfomance
aplikasi Luar biasa	General Aspect
aplikasinya tidak dapat di akses	Functionality and Perfomance
CHEK PBB GA BISA	Functionality and Perfomance
eror mulu	Functionality and Perfomance
video can't be played	Functionality and Perfomance
cek pajak gabisa	Functionality and Perfomance
aplikasi gak niat	General Aspect
customer servicenya payah	Out of Aspect
aplikasi Bagus	General Aspect
apk lancar	General Aspect
scan lama banget	Functionality and Perfomance
Loading minta ampun	Functionality and Perfomance
Aplikasi tidak bisa digunakan	User Experince
submit ga bisa	Functionality and Perfomance
aplikasi mohon diperbaiki	Functionality and Perfomance
pelayanannya cepat	Out of Aspect
apk fast respon	General Aspect
APLIKASI GA GUNA	General Aspect
aplikasi bagus banget	General Aspect
scan barcodenya terlalu lama mendeteksinya	Functionality and Perfomance
cek status kendaraan gak bisa	Functionality and Perfomance
Aplikasi membantu	User Experince
CEK PKB GAGAL TERUS	Functionality and Perfomance
aplikasi gajelas	General Aspect
buka gk bisa	Functionality and Perfomance
error Banyak	Functionality and Perfomance
update Tidak fungsi	Support and Updates
apl agak lambat	Functionality and Perfomance
cek keaslian produk tdk bisa	Functionality and Perfomance
Pelayanan baik	Out of Aspect
panduan untuk pengguna baru tidak ada	User Experince
laporan sangat lambat	Out of Aspect
Aplikasi suangaaaat membantu sekali	User Experince
download hasil vaksin Gak bisa	Functionality and Perfomance
daftar ulang tidak bisa	Functionality and Perfomance
akses ga bisa	Functionality and Perfomance
daftar susah	Functionality and Perfomance
aplikasi eror	Functionality and Perfomance
Scan Barcode Tidak Berfungsi	Functionality and Perfomance
APLIKASI GATHELLLL	General Aspect
Aplikasi bgke	General Aspect
apk menyusahkan	User Experince
Loading d hitung2 10jam bisa	Functionality and Perfomance
cek selalu tidak dikenali	Functionality and Perfomance
Aplikasi sangat terbantu	User Experince
Aplikasi jembot	Functionality and Perfomance
Aplikasina tidak mempermudah	General Aspect
Aplikasi tidak jelas	General Aspect
pelayanan memuaskan	Out of Aspect
Aplikasi tidak berfungsi	Functionality and Perfomance
server eror	Functionality and Perfomance
nyari muter lama bgt	Functionality and Perfomance
Aplikasi erro melulu jaringanya	Functionality and Perfomance
Aplikasinya ga bisa dibuka	Functionality and Perfomance
registrasi lama	Functionality and Perfomance
nama produk gak muncul	Functionality and Perfomance
daftar susah bngt	User Experince
internet gak ada jaringan	Functionality and Perfomance
aplk ga bisa	Functionality and Perfomance
Aplikasi tidak ada manfaatnya	User Experince
Pelayanannya sangat memuaskan	General Aspect
aplikasi dungu	General Aspect
survei selalu error	Functionality and Perfomance
ngecek ngk ada produk	Functionality and Perfomance
respon cepat	Support and Updates
admin slow respon	Out of Aspect
scan barcode cepet banget	Functionality and Perfomance
